"CrashFactId","Name","MinorInjuries","ModerateInjuries","SevereInjuries","FatalInjuries","TcrNumber","CityDamageFlag","ShortFormFlag","Distance","CrashDateTime","PedestrianAction","RoadwaySurface","RoadwayCondition","Lighting","PrimaryCollisionFactor","TrafficControl","Weather","CollisionType","ProximityToIntersection","VehicleInvolvedWith","PedestrianDirectionFrom","PedestrianDirectionTo","DirectionFromIntersection","Comment","SpeedingFlag","HitAndRunFlag","IntersectionNumber","AStreetName","BStreetName","Latitude","Longitude"
"717432","CR-0000102456","2","0","0","0","24-085-0929","False","False","40","3/25/2024 9:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Clear","Broadside","Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"712107","CR-0000101489","0","0","0","0","23-257-9709","False","True","","9/12/2023 5:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Unknown","Unknown","Controls Functioning","Clear","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","Unknown","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"719625","CR-0000102784","0","0","0","0","24-004-0122","False","False","81","1/4/2024 6:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","Controls Functioning","Clear","Hit Object","Non-Related","Fixed Object","Not Applicable","Not Applicable","South Of","MEDIAN","True","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"726683","CR-0000105219","0","0","0","0","24-163-4007","False","True","51","6/11/2024 6:10:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","North Of","","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"723712","CR-0000104105","1","0","0","0","24-121-0390","False","False","71","4/30/2024 11:30:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Violation Driver 1","No Controls Present/Factor","Clear","Other","Non-Related","Fixed Object","Not Applicable","Not Applicable","North Of","MEDIAN

V1 made an illegal turn in front of V2 causing V2 to hi t the median","False","False","64019","FRUITDALE AV","SOUTHWEST EX","37.3107046","-121.9174075"
"726599","CR-0000105133","0","0","0","0","24-161-4005","False","True","","6/4/2024 4:10:00 PM","No Pedestrians Involved","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Rear End","Related","Other Vehicle","Not Applicable","Not Applicable","Unknown","","False","False","24310","BRANHAM LN","VISTAPARK DR","37.26586386","-121.8465744"
"719672","CR-0000102843","0","0","0","0","24-008-9708","False","True","0","1/4/2024 3:45:00 PM","No Pedestrians Involved","Dry","Unknown","Daylight","Unknown","Unknown","Clear","Rear End","Intersection","Other Vehicle","Not Applicable","Not Applicable","At","","False","False","24310","BRANHAM LN","VISTAPARK DR","37.26586386","-121.8465744"
"722208","CR-0000103474","0","0","0","0","24-080-9701","False","True","51","3/19/2024 6:00:00 PM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","No Controls Present/Factor","Clear","Rear End","Non-Related","Other Vehicle","Not Applicable","Not Applicable","East Of","","False","False","24310","BRANHAM LN","VISTAPARK DR","37.26586386","-121.8465744"
"698696","CR-0000099944","0","1","0","0","23-295-0289","False","False","0","10/22/2023 7:10:00 AM","No Pedestrians Involved","Dry","No Unusual Conditions","Daylight","Unknown","Controls Functioning","Clear","Vehicle/Bike","Intersection","Bike","Not Applicable","Not Applicable","At","BIKE","False","False","24310","BRANHAM LN","VISTAPARK DR","37.26586386","-121.8465744"
"698788","CR-0000100069","1","0","0","0","23-363-0591","False","False","0","12/29/2023 5:37:00 PM","Crossing In Crosswalk - At Intersection","Wet","No Unusual Conditions","Dark - Street Light","Violation Driver 1","Controls Functioning","Rain","Vehicle/Pedestrian","Intersection","Pedestrian","East","West","At","PED","False","True","83005","LEIGH AV","STOKES ST","37.30142851","-121.922858"
